Nombre científico;Presentación
Corbicula fluminea;Concha
Corbicula fluminea;Entero enhielado
Corbicula fluminea;Entero fresco
Anodontites sp.;Entero
Anodontites sp.;Concha
Anodontites sp.;Entero enhielado
Anodontites sp.;Entero fresco
Sphyrna spp.;Filete
Sphyrna spp.;Tronco
Sphyrna spp.;Carne
Sphyrna spp.;Aleta
Sphyrna spp.;Descabezado
Sphyrna spp.;Entero
Sphyrna spp.;Eviscerado
Carpilius coralinus;Carne
Carpilius coralinus;Entero
Carpilius coralinus;Muelas
Carpilius coralinus;Entero enhielado
Carpilius coralinus;Entero fresco
Carpilius coralinus;Pinzas de cangrejo
Macrobrachium carcinus;Entero
Macrobrachium carcinus;Colas
Macrobrachium carcinus;Entero enhielado
Macrobrachium carcinus;Entero fresco
Macrobrachium carcinus;Cola enhielada
Macrobrachium acanthurus;Entero
Macrobrachium acanthurus;Colas
Macrobrachium acanthurus;Entero enhielado
Macrobrachium acanthurus;Entero fresco
Macrobrachium acanthurus;Cola enhielada
Maguimithrax spinosissimus;Carne
Maguimithrax spinosissimus;Entero
Maguimithrax spinosissimus;Muelas
Maguimithrax spinosissimus;Entero enhielado
Maguimithrax spinosissimus;Entero fresco
Maguimithrax spinosissimus;Pinzas de cangrejo
Echinorhinus brucus;Filete
Echinorhinus brucus;Tronco
Echinorhinus brucus;Carne
Echinorhinus brucus;Aleta
Echinorhinus brucus;Descabezado
Echinorhinus brucus;Entero
Echinorhinus brucus;Eviscerado
Sepioteuthis sepioidea;Entero
Sepioteuthis sepioidea;Entero enhielado
Sepioteuthis sepioidea;Entero fresco
Rhizoprionodon terraenovae;Filete
Rhizoprionodon terraenovae;Tronco
Rhizoprionodon terraenovae;Carne
Rhizoprionodon terraenovae;Aleta
Rhizoprionodon terraenovae;Descabezado
Rhizoprionodon terraenovae;Entero
Rhizoprionodon terraenovae;Eviscerado
Maja squinado;Carne
Maja squinado;Entero
Maja squinado;Muelas
Maja squinado;Entero enhielado
Maja squinado;Entero fresco
Trachypenaeus byrdi;Entero
Trachypenaeus byrdi;Colas
Trachypenaeus byrdi;Entero enhielado
Trachypenaeus byrdi;Entero fresco
Trachypenaeus byrdi;Cola enhielada
Carcharhinus galapagensis;Filete
Carcharhinus galapagensis;Tronco
Carcharhinus galapagensis;Carne
Carcharhinus galapagensis;Aleta
Carcharhinus galapagensis;Descabezado
Carcharhinus galapagensis;Entero
Carcharhinus galapagensis;Eviscerado
Sphyrna media;Filete
Sphyrna media;Tronco
Sphyrna media;Carne
Sphyrna media;Aleta
Sphyrna media;Descabezado
Sphyrna media;Entero
Sphyrna media;Eviscerado
Camarón rojo colas;Entero
Camarón rojo colas;Colas
Camarón rojo colas;Entero enhielado
Camarón rojo colas;Entero fresco
Camarón rojo entero;Entero
Camarón rojo entero;Colas
Camarón rojo entero;Entero enhielado
Camarón rojo entero;Entero fresco
Carcharhinus;Filete
Carcharhinus;Tronco
Carcharhinus;Carne
Carcharhinus;Aleta
Carcharhinus;Descabezado
Carcharhinus;Entero
Carcharhinus;Eviscerado
Myliobatidae;Carne
Myliobatidae;Entero
Myliobatidae;Entero enhielado
Myliobatidae;Entero fresco
Camarón pomadilla;Entero
Camarón pomadilla;Colas
Camarón pomadilla;Entero enhielado
Camarón pomadilla;Entero fresco
Camarón tigre;Entero
Camarón tigre;Colas
Camarón tigre;Entero enhielado
Camarón tigre;Entero fresco
Camarón café;Entero
Camarón café;Colas
Camarón café;Entero enhielado
Camarón café;Entero fresco
Camarón rojo;Entero
Camarón rojo;Colas
Camarón rojo;Entero enhielado
Camarón rojo;Entero fresco
Alopiidae;Filete
Alopiidae;Tronco
Alopiidae;Carne
Alopiidae;Aleta
Alopiidae;Descabezado
Alopiidae;Entero
Alopiidae;Eviscerado
Dasyatidae;Carne
Dasyatidae;Entero
Dasyatidae;Entero enhielado
Dasyatidae;Entero fresco
